Strike,Contract Name,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
100,JNJ170616P00100000,0.24,0.22,0.26,-0.01,-4.00%,5,"2,116",22.02%
105,JNJ170616P00105000,0.41,0.4,0.42,0.03,7.89%,72,"2,484",19.56%
110,JNJ170616P00110000,0.71,0.7,0.72,0.01,1.43%,23,"4,806",17.26%
115,JNJ170616P00115000,1.38,1.36,1.39,0.04,2.99%,9,"3,597",15.56%
120,JNJ170616P00120000,2.73,2.75,2.77,0.06,2.25%,39,"2,267",14.38%
125,JNJ170616P00125000,5.22,5.2,5.3,0.07,1.36%,3,"3,282",14.02%
130,JNJ170616P00130000,14.95,15.15,15.55,-0.55,-3.55%,20,26,41.07%
135,JNJ170616P00135000,14,14.05,14.45,0,0.00%,25,25,21.70%
140,JNJ170616P00140000,22.4,22.45,23.95,0,0.00%,1,1,46.50%
145,JNJ170616P00145000,29.9,0,0,0,0.00%,2,0,0.00%
