,V1,V2,V3,V4,V5
1,41,0.863809863,17.29181794,16.86345276,16.86522749
2,42,0.42026878,8.837690048,8.434490447,8.43449232
3,43,0.371056263,7.893543791,7.492156183,7.492156407
4,44,0,1.418415765,0,0
5,45,0.036664657,1.632499322,1.114781503,1.114781503
6,50,0.115603944,3.014587531,2.596303634,2.596303634
7,52.5,0.115749186,3.01730518,2.599076113,2.599076113
8,55,0.024311023,1.483916759,0.903879361,0.903879361
9,57.5,0.014354089,1.423722126,0.762325076,0.762325076
10,60,0.016458106,1.430417714,0.788063468,0.788063468
