N / impvol,vol1,vol12,vol13,vol14,vol15,vol16,vol17,vol18,vol9,vol10
10,0.200000001,2.22,1.85,1.47,1.13,0.835,0.635,0.165,0.045515392,0.045961621
20,2.700000001,9.22E+11,2.50E+13,5.13E+12,1.13,0.835,0.635,41609.87193,0.045515392,0.045961621
30,2.700000001,2.39E+14,3.78E+15,2.84E+13,1.13,0.835,0.635,77.14641707,0.045515392,0.045961621
40,2.700000001,2.22,4.01E+17,2.97E+16,1.13,0.835,0.635,1.104659715,0.045515392,0.045961621
50,2.700000001,2.22,6.45E+18,5.94E+17,1.13,0.835,0.635,0.008310727,0.045515392,0.045961621
100,5.81E+19,2.22,1.85,9517762753,1.13,0.835,15422243.85,0.007359041,0.045515392,0.045961621
150,2.014713189,0.00027157,0.001197079,0.001175079,0.002362411,0.00229488,0.004285803,0.007635141,0.045515392,0.045961621
200,2.700000001,2.22,1.85,1.47,1.13,0.835,0.635,0.008021898,0.045515392,0.045961621
250,0.200000001,0.22,0.35,0.47,0.63,0.835,1.135,1.165,1.454484608,1.954038379
300,0.200000001,0.22,0.35,0.47,0.63,0.835,1.135,1.165,1.454484608,1.954038379
350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
