sigma,Pu,Pm,Pd
0.05,-0.007630031,1.01338386,-0.005703303
0.1,-0.027504374,1.05338386,-0.025828959
0.15,-0.060628281,1.120050526,-0.059371719
0.2,-0.10700175,1.21338386,-0.106331584
0.25,-0.166624781,1.33338386,-0.166708552
0.3,-0.239497375,1.480050526,-0.240502625
0.35,-0.325619532,1.65338386,-0.327713801
0.4,-0.424991251,1.85338386,-0.428342082
0.45,-0.537612533,2.080050526,-0.542387467
0.5,-0.663483377,2.33338386,-0.669849956
0.55,-0.802603784,2.61338386,-0.81072955
0.6,-0.954973753,2.920050526,-0.965026247
